# 0.000230754, 1.60991, 0.00014137, 0.0387881, 1.72267, 0.00425597, 0.00346112, 0.00354826, 0.00369468, 0.00340341, 0.00380252, 0.00334203, 0.00349716, 0.00426043, 0.0036253, 0.0033846, 0.00332532, 0.00397693, 0.00329557, 0.00366573, 0.00347255, 0.00387546, 0.00356337, 0.00334546, 0.00343414, 0.00313832, 0.00390178, 0.00368491, 0.0034895, 0.00354864, 0.00347609, 0.00360616, 0.00347929, 0.00358349, 0.003694, 0.00398657, 0.00328881, 0.00355835, 0.00382173, 0.00397323, 0.00381965, 0.00351529, 0.00403851, 0.00390038, 0.00335546, 0.00371755, 0.00396824, 0.00364038, 0.00337465, 0.00367305, 0.00352301, 0.00372767, 0.00370352, 0.00360529, 0.00339953, 0.0036789, 0.0039311, 0.00335923, 0.00342246, 0.00370741, 0.00359699, 0.003949, 0.00368309, 0.00355211, 0.00348971, 0.00384977, 0.00408973, 0.00430777, 0.302772, 0.33175, 0.361037, 0.386079, 0.420207, 0.450112, 0.476048, 0.500224, 0.529798, 0.544381, 0.561238, 0.585022, 0.60007, 0.634443, 0.668305, 0.687075, 0.713891, 0.738074, 0.756039, 0.783228, 0.80029, 0.833754, 0.845371, 0.865331, 0.891801, 0.906728, 0.936304, 0.946609, 0.972659, 0.981535, 1.00418, 1.02745, 1.04621, 1.07233, 1.09521, 1.11868, 1.13971, 1.16171, 1.17398, 1.20672, 1.23173, 1.26475, 1.27899, 1.30189, 1.3481, 1.38414, 1.40159, 1.41752, 1.43065, 1.44478, 1.46391, 1.49713, 1.53241, 1.55517, 1.57154, 1.59389, 1.61823, 1.64121, 1.6581, 1.70593, 1.73921, 1.76222, 1.78781, 0.00482865, 0.00406189, 0.00441117, 0.00367978, 0.00357737, 0.00401452, 0.00408462, 0.00382281, 0.00455702, 0.00409429, 0.00427785, 0.00381821, 0.00395019, 0.00406571, 0.00411346, 0.00359643, 0.00406318, 0.0038535, 0.00421882, 0.00383311, 0.004035, 0.00436612, 0.00379999, 0.00390367, 0.00438141, 0.00401526, 0.00388364, 0.00451636, 0.00387657, 0.0044966, 0.00407562, 0.0038993, 0.00388468, 0.00447903, 0.00443108, 0.00457518, 0.00426552, 0.00426258, 0.00433373, 0.00405736, 0.00423163, 0.00432051, 0.00396094, 0.00430296, 0.00422509, 0.00383122, 0.00406599, 0.00380066, 0.00436272, 0.00467338, 0.00430496, 0.00447776, 0.00423218, 0.00436303, 0.00411381, 0.00445079, 0.00432439, 0.00435655, 0.00419219, 0.0042437, 0.00403074, 0.00422122, 0.00483151, 0.000808596, 1.64699, 0.976956
-5226.81,0.656775,0.0443276,7,255,0,5321.68,0.425269,5.51544,0.61968,0.347459,0.0169378,0.635603,0.0504598,0.23517,1.69974,0.144587,0.395176,1.77338,0.380692,0.138462,1.90656,0.643283,0.12899,1.83827,0.843383,0.494904,1.81195,0.920758,0.548665,1.6487,1.15025,0.805049,1.63095,1.20159,0.685809,1.54703,1.26153,0.705361,1.44206,1.53995,0.72581,1.0566,1.64296,0.588726,0.874616,1.73872,0.462934,0.958022,1.75729,0.69613,0.824799,1.81522,0.579789,0.397114,1.84937,0.318726,0.297414,1.8397,0.462673,0.117251,1.87146,0.603633,0.0809038,1.98129,0.701337,-0.312457,1.85816,0.517625,-0.469568,1.77062,0.435184,-0.58069,1.65366,0.496336,-0.754389,1.70989,0.37203,-1.00297,1.41928,0.444434,-1.06256,1.31012,0.408254,-1.5612,1.40559,0.651843,-1.61534,1.10383,0.796219,-1.6185,0.928626,0.606916,-1.6123,0.930803,0.551215,-1.68831,0.669841,0.470317,-1.77224,0.425567,0.489354,-1.74342,0.344799,0.402678,-1.83093,0.206965,0.315093,-1.88273,-0.114388,0.486738,-2.00283,-0.335715,0.744658,-1.97947,-0.559308,0.652515,-1.87425,-0.661266,0.505795,-1.77925,-0.761202,0.265274,-1.64361,-0.903751,0.15945,-1.5921,-1.09528,0.269465,-1.46381,-1.32885,0.193675,-1.38158,-1.50639,0.0796726,-1.20136,-1.54154,-0.0561718,-1.1642,-1.60205,0.0175599,-1.10323,-1.71506,-0.116252,-0.786668,-1.75782,0.0208387,-0.738902,-1.82409,-0.331559,-0.483667,-1.87559,-0.359675,-0.191025,-1.90614,-0.329044,-0.237271,-2.11439,-0.568703,0.158161,-1.83373,-0.692369,0.417494,-1.77921,-0.777693,0.539413,-1.78073,-1.00417,0.637664,-1.70486,-1.16521,1.0039,-1.59019,-1.10729,1.09582,-1.43176,-1.09507,1.22946,-1.19344,-1.02757,1.28117,-1.19936,-1.0797,1.49107,-1.22445,-1.00598,1.61586,-0.971419,-1.03828,1.75264,-0.761991,-0.718998,1.81045,-0.609495,-0.752072,1.82102,-0.487104,-0.652545,1.94488,-0.221721,-0.693272,1.91015,0.495326,0.0200944,0.0550013,0.429578,-1.05711,-4.07821,-0.453181,-0.112176,0.370089,1.69012,-16458.3,-46314.2,-16812.6,-16518.5
-5221.78,0.997794,0.0443276,7,127,0,5315.82,0.427375,2.64342,0.609661,0.39282,0.0044415,0.602739,0.227422,0.325977,2.02462,0.22542,0.227393,1.90496,0.350696,0.0746283,1.80598,0.808899,-0.0979881,1.91593,0.852908,0.103468,1.88801,1.0087,0.134683,1.7737,1.02034,-0.19402,1.4723,1.15786,-0.0390195,1.4784,1.42161,0.0994585,1.30824,1.51914,-0.162704,1.34367,1.62832,-0.139987,1.05268,1.8257,0.077131,0.895041,1.88696,0.0538858,0.717144,2.00016,-0.0180616,0.714191,1.84752,-0.174581,0.36519,1.92505,-0.0815263,0.080709,1.95076,-0.0477481,-0.0923775,1.81795,0.124332,-0.231723,1.93913,0.160824,-0.555005,1.89301,0.0559809,-0.816228,1.73206,-0.0867569,-0.851093,1.65393,-0.142377,-0.914973,1.47716,0.0377911,-1.20421,1.31528,-0.125144,-1.25217,1.2259,-0.150151,-1.57611,1.11121,-0.104904,-1.57393,0.89091,-0.0283026,-1.57055,0.638614,0.00182298,-1.65129,0.576218,-0.0694299,-1.72048,0.462629,-0.0606652,-1.72744,0.35492,-0.120503,-1.79625,0.0783114,-0.252749,-1.90895,-0.0764851,-0.440554,-1.95877,-0.163504,-0.496201,-1.78632,-0.448068,-0.499569,-1.82388,-0.733979,-0.486763,-1.69519,-0.71221,-0.324041,-1.73634,-0.899977,-0.446988,-1.40622,-1.09142,-0.582637,-1.5955,-1.37653,-0.454722,-1.45645,-1.45568,-0.453709,-1.2321,-1.53841,-0.196826,-1.11284,-1.6495,-0.301722,-0.926891,-1.74973,-0.262391,-0.713237,-1.84596,-0.348734,-0.573701,-1.98758,-0.483545,-0.403555,-1.98655,-0.475434,-0.259839,-1.9404,-0.660273,-0.0427941,-1.79844,-0.59957,0.0691849,-1.9269,-0.578719,0.251208,-1.9188,-0.711741,0.536949,-1.74056,-0.766279,0.779057,-1.57267,-0.730538,0.892022,-1.59749,-0.580026,1.00808,-1.47328,-0.455221,1.29587,-1.35022,-0.599922,1.27347,-1.22424,-0.363113,1.35849,-0.989879,-0.309708,1.4371,-0.973713,-0.17211,1.51012,-0.930276,-0.209913,1.69988,-0.618211,-0.120377,1.79634,-0.395701,-0.273061,1.83727,-0.385796,-0.247818,2.01563,0.508742,0.0134327,0.0613934,0.416432,-0.934405,-5.41676,-0.506271,0.209812,0.532197,2.00564,-12742,-45872.4,-12816.2,-16673.2
-5200.56,0.921819,0.0443276,6,63,0,5289.36,0.433031,0.484991,0.612745,0.358516,0.0186035,0.62288,0.207554,0.579209,1.8307,0.292977,0.41882,1.82035,0.424483,0.387581,1.91148,0.697768,0.567098,1.85228,0.874215,0.424477,1.85552,1.0142,0.612177,1.61882,1.15439,0.666489,1.58211,1.24734,0.6451,1.49197,1.34504,0.388408,1.40973,1.64202,0.269326,1.08941,1.6419,0.319562,0.923843,1.75046,0.136802,0.838219,1.75915,0.0918824,0.734953,1.83914,0.188869,0.431892,1.90342,0.203958,0.283367,1.90621,0.19794,0.124327,1.88747,-0.0619513,0.074882,1.98413,0.12927,-0.365029,1.9206,0.130487,-0.521809,1.79483,0.0317747,-0.611746,1.70145,-0.0707795,-0.86325,1.70115,-0.0213062,-1.05472,1.40002,0.0435514,-1.14969,1.27405,0.148426,-1.59522,1.37191,0.0524725,-1.63023,1.06223,-0.0333285,-1.70352,0.940285,-0.0404199,-1.68445,0.918612,-0.108358,-1.6777,0.563439,-0.253278,-1.81999,0.360167,-0.457627,-1.75853,0.277573,-0.326982,-1.92219,0.131871,-0.451529,-1.98496,-0.114832,-0.532918,-1.99205,-0.271506,-0.743021,-1.91831,-0.488894,-0.643927,-1.80033,-0.603329,-0.692379,-1.74576,-0.727128,-0.787624,-1.6233,-0.876671,-0.736008,-1.48874,-1.05246,-0.826162,-1.44649,-1.29271,-0.806522,-1.49576,-1.55621,-0.736226,-1.32398,-1.56391,-0.558402,-1.15608,-1.67438,-0.667395,-1.03027,-1.76875,-0.597548,-0.72087,-1.90441,-0.6891,-0.653991,-1.92149,-0.666923,-0.504035,-1.85468,-0.640825,-0.146185,-1.83704,-0.772222,-0.0906715,-2.00742,-0.945486,0.233914,-1.83177,-0.994104,0.347869,-1.9025,-1.08525,0.459058,-1.76651,-1.02415,0.657579,-1.67285,-1.01201,1.05364,-1.64581,-1.0394,1.04659,-1.47412,-1.08022,1.23751,-1.18535,-0.96136,1.31042,-1.18594,-1.10835,1.51094,-1.17213,-1.10308,1.62655,-0.945832,-0.815801,1.79601,-0.76082,-0.787186,1.80293,-0.591383,-0.734521,1.76381,-0.499249,-0.867496,1.86793,-0.329288,-0.787432,1.92745,0.509691,0.0133619,0.0548258,0.422122,-1.02578,-3.9844,-0.473401,0.232576,0.553262,1.86908,-16916.2,-44650.1,-27290.5,-16998.5
-5203.15,0.792105,0.0443276,6,127,0,5287.09,0.432441,1.89651,0.608606,0.383606,0.00503806,0.611356,0.183401,1.02488,1.88635,0.272404,0.779615,1.92971,0.392574,0.921393,1.82737,0.757566,0.814232,1.85518,0.807807,0.725782,1.793,0.870462,0.582834,1.74228,0.943442,0.549291,1.49953,1.16694,0.633477,1.53338,1.36179,0.60866,1.29845,1.45756,0.535874,1.21321,1.62167,0.365817,0.917652,1.75647,0.194544,0.86068,1.72541,0.388727,0.749983,1.79684,0.343402,0.627996,1.82785,0.472456,0.359975,1.99943,0.446726,0.0599374,1.90493,0.425254,0.00497776,1.85457,0.13582,-0.178734,1.88721,-0.0289408,-0.489537,1.76369,-0.0496189,-0.697578,1.65737,-0.060811,-0.705469,1.7116,-0.211565,-0.847686,1.48678,-0.330584,-1.21179,1.31116,-0.327996,-1.31451,1.30656,-0.27913,-1.609,1.17284,-0.121111,-1.61304,1.00648,-0.204591,-1.66141,0.831909,-0.17644,-1.76031,0.656417,-0.191102,-1.75126,0.393232,-0.187577,-1.76268,0.381325,-0.34726,-1.80654,0.152007,-0.42656,-1.81531,-0.10029,-0.568168,-1.99846,-0.218085,-0.681614,-1.87129,-0.376173,-0.554472,-1.84374,-0.69209,-0.577385,-1.61241,-0.70707,-0.677799,-1.69031,-0.878365,-0.748323,-1.48485,-1.07951,-0.992201,-1.62632,-1.36925,-0.800289,-1.43133,-1.51811,-0.799226,-1.21517,-1.59068,-0.808635,-1.17741,-1.62837,-0.673263,-1.04211,-1.79828,-0.513625,-0.765846,-1.87946,-0.469844,-0.7131,-2.02772,-0.457749,-0.420155,-1.95134,-0.635285,-0.200656,-1.9234,-0.628273,-0.0274422,-1.96669,-0.443078,0.104999,-1.81065,-0.526818,0.312431,-1.7089,-0.581415,0.559078,-1.73089,-0.554396,0.742949,-1.68804,-0.448727,0.874398,-1.58481,-0.560054,1.00972,-1.45644,-0.329082,1.26047,-1.36539,-0.213019,1.43607,-1.25913,-0.298353,1.51978,-1.15552,-0.489807,1.671,-1.07621,-0.504329,1.68235,-0.850991,-0.589829,1.78152,-0.654732,-0.795737,1.80477,-0.42502,-0.517575,1.92776,-0.400685,-0.297693,1.92285,0.505524,0.0359361,0.0447055,0.413835,-0.958138,-5.29073,-0.492077,0.132569,0.995035,2.06797,-11191,-45377.4,-11271.6,-16865.3
-5217.43,0.838605,0.0443276,7,127,0,5298.48,0.429717,1.46543,0.603712,0.280021,0.00933306,0.710646,0.205419,0.261562,1.76108,0.155337,0.151819,1.90066,0.289213,-0.0103968,1.91653,0.72317,0.0852057,1.81625,0.820335,-0.112605,1.82527,0.999829,0.0593076,1.64894,1.16792,-0.0203242,1.4541,1.32494,0.0246006,1.61882,1.34322,-0.0164549,1.39322,1.54534,-0.0101044,1.31818,1.74759,-0.0344886,0.900988,1.79361,-0.0795737,0.920793,1.92147,-0.196974,0.860074,1.97885,0.0664894,0.609603,1.87986,0.105936,0.340296,1.90868,0.0583715,0.0707798,1.92103,-0.0337541,0.0533011,1.86248,0.0653266,-0.298725,1.88376,0.054042,-0.520652,1.85124,0.0723609,-0.712159,1.71292,0.0862424,-0.883452,1.7443,0.428025,-1.01998,1.42786,0.45945,-1.26341,1.23565,0.477882,-1.45865,1.26815,0.405322,-1.58696,1.10494,0.312963,-1.75777,0.80734,0.283922,-1.60825,0.64835,0.127672,-1.71468,0.734109,0.161638,-1.75406,0.535206,0.107593,-1.76126,0.304979,0.0452617,-1.86383,0.115626,-0.237412,-1.9672,-0.166403,-0.173533,-1.88704,-0.248388,-0.209066,-1.81977,-0.501608,-0.0929271,-1.87093,-0.737057,-0.0634155,-1.72505,-0.76976,-0.320554,-1.7149,-0.977907,-0.00860671,-1.54918,-1.17819,0.159465,-1.55279,-1.35382,-0.0434886,-1.34921,-1.46977,0.162717,-1.22462,-1.58701,0.0333605,-1.16394,-1.61677,0.202223,-0.950409,-1.60842,0.316684,-0.676034,-1.72071,0.383996,-0.626559,-1.91194,0.436541,-0.442621,-1.93199,0.067059,-0.347915,-1.89191,-0.139041,-0.110095,-2.02406,-0.260639,0.0718497,-1.95434,-0.227635,0.301097,-1.8902,-0.0372035,0.477782,-1.80204,-0.134344,0.741636,-1.68712,-0.349086,0.976598,-1.62433,-0.336074,1.06534,-1.40603,-0.23864,1.24967,-1.3178,-0.353026,1.28737,-1.21875,-0.231268,1.37148,-1.16581,-0.28668,1.50899,-1.01407,-0.201147,1.57595,-0.769608,-0.10543,1.80984,-0.638045,0.00362183,1.7702,-0.286614,0.0328367,1.95004,-0.265821,0.0650495,1.93836,0.510167,0.0021674,0.0563987,0.431267,-1.27289,-4.67419,-0.341581,0.244007,0.296025,1.64959,-11424.2,-45322.2,-11496.7,-17071.7
-5226.2,0.847216,0.0443276,7,127,0,5318.47,0.424976,0.535212,0.607948,0.450847,0.00219056,0.546962,0.0833694,0.0477477,1.96621,0.171688,0.0363988,1.88017,0.429032,0.153402,1.86016,0.845446,-0.0328962,1.89538,0.808954,0.0646759,1.80421,1.02735,-0.120656,1.65409,1.13295,0.0889695,1.63507,1.15794,-0.0939448,1.45477,1.34381,-0.146179,1.40271,1.52031,-0.0552497,1.08755,1.71174,-0.027827,0.829075,1.78107,0.0979785,0.86218,1.80532,0.0815616,0.779944,1.95927,-0.00694358,0.644737,1.92601,-0.0784204,0.182751,2.01953,0.0369595,-0.0327786,2.00102,-0.0800168,-0.123651,1.90919,-0.219737,-0.238596,1.9228,0.0618287,-0.472867,1.80844,-0.13426,-0.494573,1.77005,-0.359955,-0.81097,1.6225,-0.666509,-0.976819,1.46315,-0.526374,-1.13566,1.27369,-0.243987,-1.45207,1.25817,-0.193618,-1.70024,1.18082,-0.239562,-1.59705,0.82738,-0.219939,-1.7127,0.757209,-0.124187,-1.75975,0.590359,-0.0662113,-1.82018,0.471741,-0.256041,-1.78109,0.416564,-0.120999,-1.85693,0.170998,-0.284557,-1.96919,-0.0848949,-0.0836184,-1.97258,-0.195014,0.0490069,-1.8373,-0.48857,-0.0635093,-1.83632,-0.730572,-0.118946,-1.73386,-0.766963,0.00651017,-1.62731,-0.866057,0.0825004,-1.35249,-1.06471,-0.111741,-1.50908,-1.3371,-0.204481,-1.50736,-1.48218,-0.191562,-1.20773,-1.5154,-0.171729,-1.18455,-1.6618,-0.399147,-0.929481,-1.8836,-0.376727,-0.692881,-1.91991,-0.286359,-0.672084,-1.97263,0.012758,-0.468108,-1.92764,0.23891,-0.250173,-1.99142,0.0906685,-0.244293,-2.02608,0.127769,0.0550758,-1.92975,0.135173,0.255262,-1.82846,0.194476,0.495065,-1.72875,0.204422,0.643346,-1.62464,0.241764,1.03393,-1.63171,0.0806243,1.08933,-1.52029,0.102526,1.30267,-1.25302,0.101133,1.26893,-1.27712,0.0825558,1.41371,-1.13485,0.221034,1.55908,-0.919483,0.476626,1.7272,-0.853147,0.288216,1.79136,-0.540416,0.204241,1.8746,-0.474134,0.216916,1.74708,-0.185577,0.00685856,1.97854,0.503322,0.00113743,0.0976743,0.397866,-0.796626,-6.1236,-0.603376,0.0797259,0.107024,2.45121,-16918.5,-46754.5,-24536.6,-16979.8
-5235.16,0.885593,0.0443276,7,127,0,5328.65,0.430991,1.00421,0.620976,0.384183,0.0196864,0.59613,0.108087,-0.120769,1.82883,0.182001,-0.309777,1.8508,0.315858,-0.439201,1.83648,0.627367,-0.470638,1.8486,0.825328,-0.195884,1.85647,0.995358,-0.343417,1.69783,1.15226,-0.185735,1.53367,1.19822,-0.260328,1.55403,1.38628,-0.0534084,1.24418,1.49099,-0.0110541,1.21943,1.73007,-0.0778209,0.928667,1.72008,0.158169,0.873508,1.86917,0.375466,0.806405,1.93355,0.0493076,0.547134,1.85684,0.0892893,0.261992,1.98385,0.220774,-0.0204263,1.87848,0.435788,-0.0301475,1.9048,0.366594,-0.358806,1.96313,0.21667,-0.480601,1.85908,0.401497,-0.655197,1.90014,0.408982,-0.822469,1.61301,0.107696,-0.950343,1.33172,0.015652,-1.1633,1.15721,0.0911862,-1.52388,1.34785,0.198263,-1.62184,1.09984,0.168861,-1.64506,0.895691,0.319054,-1.61312,0.858629,0.0106194,-1.62142,0.565425,-0.114812,-1.72693,0.495586,-0.382823,-1.79082,0.330312,-0.463559,-1.88608,0.183542,-0.437819,-1.89366,-0.0593563,-0.314386,-1.91851,-0.266719,-0.539368,-1.82801,-0.47392,-0.349736,-1.81686,-0.59085,-0.133822,-1.70577,-0.736373,-0.0816943,-1.66768,-0.879133,-0.0532844,-1.52982,-0.930669,0.0655767,-1.60494,-1.37217,-0.0750693,-1.40767,-1.50095,0.232593,-1.18478,-1.55509,0.250391,-1.0936,-1.6813,0.350234,-0.96264,-1.7512,0.162136,-0.621163,-1.86701,-0.0989635,-0.645636,-1.8826,0.0179188,-0.467681,-1.95863,0.131628,-0.271328,-1.96914,0.0297608,-0.24092,-2.0282,0.0601733,0.0936659,-1.80799,-0.0850715,0.173076,-1.79451,-0.114089,0.523135,-1.71057,-0.08925,0.773024,-1.62886,-0.0594669,0.93723,-1.50817,-0.258084,0.989459,-1.46737,-0.134858,1.15248,-1.31577,-0.0441517,1.36578,-1.31539,0.0746161,1.43926,-1.08345,0.0435829,1.64589,-1.05848,-0.274164,1.53168,-0.759386,-0.245412,1.63189,-0.655275,-0.202551,1.75228,-0.378708,-0.322658,1.97001,-0.165767,-0.295985,1.91604,0.494586,0.00899889,0.0601813,0.436234,-0.956635,-3.92783,-0.517296,-0.129945,0.0860288,1.53038,-12804.7,-45369.8,-12863.7,-16361.8
-5227.07,0.989476,0.0443276,7,127,0,5321.55,0.424293,7.64448,0.608968,0.349073,0.00110213,0.649824,0.19568,0.679721,1.88995,0.248882,0.585819,1.81074,0.416223,0.611018,1.82376,0.826193,0.478471,1.86856,0.85998,0.117132,1.7821,0.933176,-0.0969168,1.68876,1.06925,-0.249774,1.47906,1.23138,0.110034,1.50075,1.33559,0.323067,1.4625,1.55959,-0.026994,1.19342,1.57412,-0.245134,0.924916,1.81787,-0.00389496,0.886553,1.74631,-0.210588,0.695435,1.85372,-0.140932,0.601567,1.90038,-0.276007,0.426697,1.85792,-0.192119,0.199235,1.92564,-0.0944024,0.118154,1.83699,0.00889361,-0.189856,1.80399,0.0444524,-0.491443,1.73854,0.0137234,-0.689995,1.50263,0.212452,-0.77964,1.73101,0.109981,-0.993535,1.57344,-0.191649,-1.1448,1.45985,-0.245556,-1.35865,1.2689,-0.300744,-1.56786,1.10134,-0.122851,-1.63973,0.962146,-0.153414,-1.652,0.772019,-0.10559,-1.81116,0.690449,0.104561,-1.86645,0.453945,0.267051,-1.7244,0.319452,0.64257,-1.83717,0.131154,0.499248,-1.94281,-0.108306,0.6005,-2.03754,-0.231896,0.580026,-1.87776,-0.507329,0.761494,-1.87504,-0.725632,0.812232,-1.76911,-0.751034,0.814318,-1.71296,-0.952272,0.778857,-1.44879,-1.24798,0.824545,-1.5114,-1.30587,0.978811,-1.44966,-1.41587,0.945324,-1.34052,-1.50855,1.06805,-1.15642,-1.64023,1.31789,-1.04301,-1.7057,1.38494,-0.778803,-1.79234,1.40997,-0.643025,-1.92958,1.26328,-0.39444,-1.88353,1.35581,-0.186872,-1.88836,1.46742,-0.0434857,-1.87163,1.65091,0.18088,-1.99518,1.64306,0.449168,-1.92253,1.68192,0.603711,-1.76441,1.54846,0.615041,-1.71081,1.31305,0.997876,-1.65725,1.19781,1.11207,-1.46372,1.04561,1.37787,-1.22096,0.919202,1.24547,-1.11746,0.985818,1.45116,-1.13941,1.13394,1.4746,-0.978912,1.09767,1.75745,-0.919159,1.01515,1.88756,-0.578229,0.860948,1.82016,-0.499115,1.06639,1.80527,-0.43238,1.17428,1.99098,0.518571,0.011735,0.0419614,0.427732,-1.05247,-6.81051,-0.431053,0.445709,0.727349,1.73442,-16894.7,-46496.9,-18788.5,-16955.4
-5235.41,0.875456,0.0443276,6,127,0,5327.81,0.4425,10.5621,0.612763,0.434771,0.0193384,0.545891,0.200224,0.357071,1.96002,0.170576,0.386578,1.94328,0.408615,0.205503,1.87349,0.675629,0.180079,1.8402,0.828551,0.104985,1.85436,1.03663,0.0525073,1.67446,1.21269,0.120397,1.62241,1.2227,0.121497,1.58106,1.41715,0.0410397,1.24825,1.51942,0.254514,1.18327,1.6057,0.309642,1.01255,1.63272,0.232569,0.792925,1.84328,-0.0872736,0.85451,1.92668,-0.113511,0.538751,1.84801,-0.139862,0.353475,1.92987,-0.156139,0.120329,1.94184,0.28986,0.00799722,1.92982,0.646435,-0.357631,1.78865,0.631149,-0.493968,1.905,0.658374,-0.645546,1.77147,0.648371,-0.831264,1.69326,0.718407,-0.956417,1.44558,0.775827,-1.22442,1.27401,0.804836,-1.51823,1.41008,0.775466,-1.62582,1.18668,0.859455,-1.61116,0.899432,0.979031,-1.68318,0.766888,1.1739,-1.7368,0.455778,1.19202,-1.83458,0.390586,1.16669,-1.81153,0.377621,1.19098,-1.8777,0.131085,1.08415,-1.73733,-0.178508,0.98905,-1.83147,-0.298886,1.14079,-1.83995,-0.52131,0.974677,-1.71231,-0.660727,1.03278,-1.65987,-0.733073,0.917209,-1.58329,-0.922427,0.934841,-1.43063,-1.0466,0.866191,-1.47966,-1.43413,0.534875,-1.50194,-1.44549,0.323335,-1.19698,-1.55183,0.457252,-1.18206,-1.58943,0.394006,-0.951528,-1.71057,0.549655,-0.653518,-1.84193,0.339966,-0.613582,-1.91244,0.122189,-0.472787,-1.85727,0.2477,-0.355745,-1.9583,0.227793,-0.202845,-2.08241,0.364157,0.146381,-1.77132,0.231375,0.319628,-1.75598,0.109927,0.557279,-1.69251,0.0833726,0.854296,-1.57225,-0.09321,1.04518,-1.51716,-0.212945,0.995025,-1.51602,-0.355207,1.22297,-1.28893,-0.301542,1.31185,-1.20717,-0.142322,1.49974,-1.03875,0.114245,1.54777,-1.03754,0.190042,1.57892,-0.786251,0.283684,1.67848,-0.624401,0.349479,1.77474,-0.370949,0.212049,1.99859,-0.333242,0.213679,1.96179,0.502863,0.00185002,0.0877673,0.40752,-0.832937,-3.94566,-0.605336,0.0687067,0.113107,2.21952,-16720.2,-42678.8,-20729.4,-16784.8
-5235.04,0.48294,0.0443276,7,127,0,5341.42,0.43009,5.4469,0.611605,0.350775,0.00692291,0.642302,0.172153,1.05712,1.71448,0.202121,1.0081,1.78633,0.407984,1.23024,1.85115,0.685966,1.27422,1.85039,0.870383,1.32211,1.83277,0.884503,1.67611,1.65827,1.07367,1.54821,1.48264,1.21234,1.48658,1.46217,1.25078,1.32178,1.32702,1.49276,1.18844,1.27179,1.7929,1.0335,1.06671,1.7905,1.02111,0.872458,1.79259,0.797549,0.700507,1.9046,0.8338,0.543728,1.88885,0.58285,0.289808,1.9791,0.54829,0.116027,1.87342,0.59316,0.00310979,1.91764,0.641487,-0.246571,1.85977,0.740906,-0.502385,1.77283,1.01956,-0.627555,1.69422,1.20395,-0.857049,1.62334,1.21029,-0.992906,1.47125,1.19971,-1.1363,1.20914,1.03861,-1.30285,1.28963,1.02061,-1.65221,1.13339,0.864075,-1.58094,0.996631,1.2228,-1.61253,0.810766,1.16384,-1.6146,0.799721,1.09316,-1.78931,0.48412,0.981406,-1.70221,0.411738,1.00107,-1.91404,0.231382,0.859708,-1.92151,-0.168969,0.829695,-2.09363,-0.276301,0.825566,-1.93924,-0.456546,0.913067,-1.93541,-0.694072,0.625688,-1.81595,-0.885346,0.618303,-1.75463,-0.911729,0.685758,-1.58389,-1.03331,0.698165,-1.59315,-1.39986,0.789068,-1.50574,-1.50723,0.766729,-1.23032,-1.52374,0.969233,-1.18177,-1.69956,1.10873,-1.07289,-1.7499,1.17581,-0.650563,-1.83206,1.39637,-0.686261,-1.94823,1.26839,-0.450127,-1.92062,1.62396,-0.17726,-1.87625,1.88177,-0.0162392,-1.88406,1.7258,0.241519,-1.94485,1.88025,0.336282,-1.99226,1.77091,0.48335,-1.71498,1.60265,0.560469,-1.67826,1.92724,0.901013,-1.69657,1.93295,1.15376,-1.46395,2.08521,1.24491,-1.19566,2.12427,1.2896,-1.25849,2.17289,1.43073,-1.221,2.16012,1.61244,-0.978473,2.13954,1.78587,-0.835305,2.025,1.86945,-0.642438,2.24598,1.78408,-0.453218,2.51678,1.86004,-0.329974,2.12796,1.82879,0.503509,0.0499205,0.0111749,0.435396,-1.04761,-4.97292,-0.442697,0.0842062,1.2823,1.5505,-16743.7,-45884.8,-16870.2,-16802.3
