epsilon,l.1,l.2,l.3,l.4,l.5,l.6,l.7,l.8,l.9,l.10,l.11,l.12,l.13,l.14,l.15,l.16,l.17,l.18,l.19,l.20,l.21,l.22,l.23,l.24,l.25,l.26,l.27,l.28,l.29,l.30,l.31,l.32,l.33,l.34,l.35,l.36,l.37,l.38,l.39,l.40,l.41,l.42,l.43,l.44,l.45,l.46,l.47,l.48,l.49,l.50,l.51,l.52,l.53,l.54,l.55,l.56,l.57,l.58,l.59,l.60,l.61,l.62,l.63,l_init,logModel
1.09748,1.32276,1.33034,1.33714,1.28079,1.43128,1.30092,1.36307,1.3329,1.44918,1.31841,1.22559,1.23153,0.998014,0.818392,0.852657,0.764046,0.803634,0.568483,0.319573,0.255496,0.130845,0.0369414,-0.259932,-0.361785,-0.440871,-0.554077,-0.716945,-0.754129,-0.928568,-0.975347,-1.06185,-1.06335,-1.17978,-1.21741,-1.30423,-1.38883,-1.33246,-1.35511,-1.48313,-1.37706,-1.34042,-1.32956,-1.21612,-1.17295,-0.945783,-0.756036,-0.864291,-0.79411,-0.766343,-0.552352,-0.300341,-0.317766,0.0108978,0.0430777,0.131163,0.345984,0.504128,0.567799,0.710452,0.757476,0.901256,1.00887,1.12326,1.35419,-9411.9
1.09891,1.33251,1.40851,1.40419,1.34101,1.39123,1.22717,1.39068,1.36103,1.46869,1.29833,1.23629,1.28758,1.01253,0.806209,0.805221,0.741966,0.839285,0.538623,0.326116,0.303736,0.133282,0.0150091,-0.238623,-0.342429,-0.484676,-0.520316,-0.758952,-0.752824,-0.906145,-0.945517,-1.05029,-1.08233,-1.16635,-1.20894,-1.34965,-1.31846,-1.30677,-1.37876,-1.47903,-1.30154,-1.37943,-1.3579,-1.2542,-1.15996,-0.990274,-0.844428,-0.876026,-0.883486,-0.755246,-0.614279,-0.246333,-0.312411,0.0255377,0.060198,0.243229,0.343497,0.492928,0.579363,0.736424,0.745184,0.920656,1.04193,1.17594,1.27782,-9417.55
1.07242,1.21162,1.10769,1.18384,1.418,1.30308,1.43227,1.25243,1.35073,1.2906,1.34298,1.07521,0.99902,1.1341,1.1091,0.907724,0.767464,0.505018,0.456013,0.343589,0.13408,0.141247,0.0195254,-0.177343,-0.508795,-0.568827,-0.655432,-0.519406,-0.733199,-0.829425,-0.89129,-0.906876,-1.02508,-1.15563,-1.25024,-1.2854,-1.32923,-1.37896,-1.31934,-1.29107,-1.47785,-1.32802,-1.33139,-1.28107,-1.09692,-1.15477,-1.10003,-0.844764,-0.756566,-0.614481,-0.400202,-0.449431,-0.0826544,0.0083559,0.204271,0.273237,0.347496,0.444628,0.502501,0.516581,0.760683,0.891396,1.06622,1.11724,1.38525,-9418.66
1.08524,1.23047,1.23983,1.22466,1.31766,1.27832,1.38063,1.18827,1.24983,1.31544,1.30981,1.0227,1.10398,1.22299,1.1492,0.899195,0.715711,0.51414,0.542627,0.312101,0.149739,0.0996562,-0.0453961,-0.291523,-0.467384,-0.532582,-0.645893,-0.577736,-0.703532,-0.811919,-0.905502,-0.871789,-1.09204,-1.20083,-1.11185,-1.30512,-1.26257,-1.43245,-1.30208,-1.33739,-1.49127,-1.35563,-1.32341,-1.35649,-1.11345,-1.11882,-1.01472,-0.817415,-0.769919,-0.776501,-0.473789,-0.350925,-0.183662,-0.052707,0.222157,0.202326,0.384209,0.612851,0.612924,0.607088,0.76379,1.01533,1.08462,1.0955,1.10324,-9419.29
1.07783,1.29804,1.2237,1.3529,1.44536,1.47088,1.39844,1.53152,1.43965,1.33514,1.25612,1.28658,1.27013,1.17222,1.16337,1.11316,0.908856,0.849312,0.514005,0.501405,0.369317,0.129051,-0.0394976,-0.224504,-0.444513,-0.594085,-0.670518,-0.827392,-0.796984,-0.783772,-0.786248,-1.10594,-1.20796,-1.25757,-1.32246,-1.30116,-1.42858,-1.2195,-1.1904,-1.30266,-1.27768,-1.34814,-1.26985,-1.04844,-1.0578,-1.01086,-0.957462,-0.905304,-0.794566,-0.537436,-0.528705,-0.371023,-0.220206,0.103193,0.0258699,0.331154,0.33519,0.39313,0.632427,0.819975,0.851534,0.824075,0.978361,1.11279,1.52575,-9417.17
1.07326,1.22837,1.14067,1.21796,1.37724,1.32815,1.32799,1.35962,1.46332,1.38858,1.34929,1.30727,1.26803,1.06891,1.01477,0.846091,0.802072,0.650121,0.38937,0.421863,0.281546,0.0807818,-0.00227251,-0.273856,-0.437223,-0.467157,-0.654845,-0.810234,-0.945889,-0.879551,-0.849953,-1.07126,-1.18929,-1.23319,-1.24279,-1.26057,-1.35208,-1.27958,-1.2356,-1.34778,-1.21764,-1.32686,-1.29259,-1.16632,-1.13739,-1.13099,-1.04014,-1.05709,-0.923293,-0.6754,-0.546712,-0.411196,-0.176182,0.0582175,0.0359265,0.345971,0.358102,0.407617,0.490119,0.70489,0.580306,0.814765,1.00828,1.24131,1.44338,-9414.88
1.09424,1.25909,1.35559,1.42362,1.50442,1.56253,1.4736,1.45392,1.41587,1.42211,1.3607,1.18351,1.17282,1.21503,1.12193,1.04551,0.81655,0.773433,0.684446,0.319748,0.151775,0.117782,-0.0275714,-0.116067,-0.358319,-0.593518,-0.663063,-0.680888,-0.654909,-0.940949,-1.13394,-1.12376,-1.19623,-1.31314,-1.38138,-1.53838,-1.39689,-1.31043,-1.25589,-1.28196,-1.39175,-1.13614,-1.18086,-1.23546,-1.08534,-1.03462,-0.942903,-0.763292,-0.881584,-0.810054,-0.51136,-0.27477,-0.221448,-0.0580212,0.214777,0.179053,0.260523,0.428324,0.620317,0.591869,0.914083,1.00301,1.13326,1.06415,0.952294,-9421.18
1.07988,1.2684,1.27812,1.33557,1.37946,1.21705,1.28414,1.33081,1.4108,1.24108,1.16386,1.12987,1.17045,1.07908,0.984026,0.766729,0.787972,0.750629,0.486996,0.443916,0.255361,0.0506336,0.00401538,-0.278263,-0.438317,-0.403117,-0.544384,-0.774544,-0.947382,-0.907174,-0.800401,-0.973893,-1.22742,-1.36764,-1.32885,-1.27081,-1.36826,-1.34474,-1.27424,-1.33058,-1.24554,-1.39401,-1.29096,-1.08588,-0.973761,-0.981474,-0.980079,-0.963461,-0.770913,-0.592676,-0.499951,-0.415084,-0.194712,0.0245824,-0.0286212,0.387583,0.475235,0.473716,0.526572,0.825768,0.749498,0.863899,0.89694,1.10335,1.54039,-9421.66
1.09324,1.26651,1.25598,1.36226,1.46433,1.53207,1.51274,1.49154,1.36566,1.39802,1.37522,1.23771,1.172,1.09961,1.00524,0.942244,0.715555,0.702741,0.689395,0.394857,0.311809,0.256994,-0.024359,-0.119424,-0.307669,-0.614823,-0.731286,-0.720964,-0.731061,-0.849594,-0.941749,-0.918383,-1.05942,-1.24168,-1.32276,-1.48502,-1.42424,-1.44962,-1.4381,-1.4338,-1.5392,-1.29901,-1.31882,-1.32995,-1.13683,-1.02636,-0.951852,-0.773944,-0.705847,-0.550247,-0.372704,-0.209324,-0.156778,-0.0132954,0.230236,0.150597,0.306095,0.515762,0.5806,0.498673,0.798647,0.838381,1.00201,1.05359,0.998172,-9415.56
1.07434,1.32803,1.19299,1.30296,1.30736,1.41177,1.29903,1.28813,1.39777,1.34074,1.21537,1.13445,1.26659,1.1382,1.11054,0.83277,0.942814,0.647791,0.401925,0.379794,0.169996,0.0506662,-0.032502,-0.248422,-0.451531,-0.441811,-0.475585,-0.697082,-0.80803,-0.933345,-0.943617,-1.18855,-1.22361,-1.28062,-1.25272,-1.23573,-1.25645,-1.30696,-1.16724,-1.23295,-1.2846,-1.26621,-1.23079,-1.06558,-1.02923,-1.14611,-0.954171,-0.893783,-0.877357,-0.776622,-0.501263,-0.474954,-0.2569,0.0595843,-0.0659049,0.372593,0.379716,0.334136,0.655275,0.686804,0.83283,0.919466,1.05234,1.12581,1.30184,-9419.13
