epsilon,l.1,l.2,l.3,l.4,l.5,l.6,l.7,l.8,l.9,l.10,l.11,l.12,l.13,l.14,l.15,l.16,l.17,l.18,l.19,l.20,l.21,l.22,l.23,l.24,l.25,l.26,l.27,l.28,l.29,l.30,l.31,l.32,l.33,l.34,l.35,l.36,l.37,l.38,l.39,l.40,l.41,l.42,l.43,l.44,l.45,l.46,l.47,l.48,l.49,l.50,l.51,l.52,l.53,l.54,l.55,l.56,l.57,l.58,l.59,l.60,l.61,l.62,l.63,l_init,logModel
1.06938,1.12717,1.20254,1.17734,1.44116,1.42991,1.52154,1.33176,1.41383,1.52876,1.32588,1.15346,1.13022,1.04474,0.907274,0.944111,0.743016,0.739901,0.56,0.360975,0.25637,0.130555,-0.0484804,-0.128231,-0.352796,-0.468375,-0.5154,-0.561843,-0.657693,-0.940645,-0.890398,-1.06202,-1.13896,-1.27131,-1.24693,-1.30645,-1.14066,-1.31431,-1.39059,-1.31961,-1.23501,-1.40177,-1.35379,-1.29797,-1.16445,-0.957468,-0.998494,-1.00834,-0.863901,-0.63747,-0.535331,-0.298042,-0.188173,0.00529491,0.0132186,0.122348,0.16869,0.459603,0.594127,0.693914,0.825461,0.963194,1.21634,1.06655,1.25862,-9418.41
1.0797,1.17676,1.15869,1.40545,1.49238,1.48625,1.44287,1.47539,1.38529,1.30919,1.30113,1.23734,1.12992,1.02107,1.06901,0.744071,0.732133,0.738132,0.59492,0.612507,0.364808,0.0756528,0.00766593,-0.384649,-0.454275,-0.403777,-0.5967,-0.601605,-0.601444,-0.805319,-1.02706,-0.981951,-1.17587,-1.27855,-1.19394,-1.3019,-1.32883,-1.32475,-1.25521,-1.26044,-1.43789,-1.28135,-1.34351,-1.25851,-1.12543,-1.03402,-0.897643,-0.820895,-0.793136,-0.605115,-0.525224,-0.36271,-0.173578,-0.0241467,0.0310271,0.317183,0.457333,0.43807,0.543314,0.631852,0.827854,0.934878,0.78501,1.01278,1.01817,-9416.52
1.07674,1.07334,1.15959,1.31912,1.45293,1.41259,1.30781,1.4019,1.50073,1.41597,1.30488,1.26959,1.30998,1.15236,1.02539,1.02961,0.73869,0.759915,0.617338,0.43416,0.188511,0.15158,0.0370672,-0.152493,-0.378095,-0.428192,-0.519959,-0.660889,-0.830455,-0.89322,-0.943308,-1.07682,-1.02075,-1.11802,-1.21068,-1.33399,-1.30693,-1.45513,-1.25742,-1.29412,-1.31752,-1.16997,-1.26761,-1.37797,-1.23468,-1.01874,-0.857877,-0.851273,-0.812798,-0.793021,-0.422449,-0.245445,-0.122088,0.0524214,0.00496816,0.315932,0.453506,0.492377,0.552288,0.784813,0.957892,0.890856,0.903792,1.12268,1.20747,-9416.38
1.1075,1.29107,1.18903,1.18587,1.29564,1.43977,1.45821,1.35276,1.36612,1.31989,1.24482,1.11444,1.13785,1.16426,1.12745,0.939591,0.93452,0.726886,0.576973,0.38669,0.282972,0.118632,0.00185231,-0.157877,-0.319117,-0.48892,-0.546734,-0.542752,-0.59468,-0.830097,-0.965317,-0.983532,-1.18778,-1.3034,-1.24907,-1.27588,-1.38866,-1.1563,-1.22939,-1.39629,-1.37961,-1.33494,-1.25518,-1.10913,-1.02529,-1.12837,-1.10393,-0.915939,-0.880847,-0.627909,-0.633436,-0.46348,-0.253009,-0.0114957,0.290201,0.308673,0.324246,0.45303,0.617701,0.65496,0.707119,0.936318,1.11347,1.11554,1.13276,-9415.01
1.05932,1.25957,1.24428,1.41557,1.50792,1.49171,1.40858,1.48268,1.48401,1.4528,1.38262,1.28355,1.22945,1.07477,0.978822,0.898924,0.631284,0.707314,0.527988,0.48706,0.335386,0.148057,-0.0125709,-0.337417,-0.553836,-0.654741,-0.726724,-0.825465,-0.899835,-0.872813,-0.964001,-1.12492,-1.14609,-1.26223,-1.35068,-1.38882,-1.32056,-1.50703,-1.3552,-1.30694,-1.35552,-1.25945,-1.26499,-1.34949,-1.22069,-1.13991,-1.00647,-0.91332,-0.779684,-0.722929,-0.451738,-0.325227,-0.19381,-0.0522073,-0.0902476,0.226057,0.356713,0.490441,0.525834,0.712604,0.879619,0.941641,0.960016,1.16434,1.28684,-9412.42
1.07532,1.17525,1.28607,1.27556,1.41861,1.60592,1.35631,1.41616,1.54056,1.46713,1.26257,1.13585,1.13732,1.04941,0.978628,0.814141,0.775011,0.6125,0.574372,0.316583,0.088694,0.113061,0.0280635,-0.130428,-0.312249,-0.440491,-0.758348,-0.778966,-0.853107,-0.905704,-0.979265,-1.01995,-1.14777,-1.41446,-1.22557,-1.31674,-1.42003,-1.27314,-1.37863,-1.44331,-1.42674,-1.37457,-1.30197,-1.24902,-1.07583,-1.06794,-0.876995,-1.0177,-0.827086,-0.675401,-0.534009,-0.376349,-0.225601,-0.0458485,0.0371185,0.19026,0.336394,0.533545,0.668475,0.640479,0.734186,0.855545,1.03954,1.11049,1.27296,-9411.33
1.08167,1.16794,1.08956,1.29976,1.41866,1.40661,1.40629,1.39803,1.35563,1.36899,1.34712,1.12557,1.11287,0.965934,0.940707,1.04647,0.671208,0.630557,0.429797,0.321433,0.232044,0.119413,0.100312,-0.0585381,-0.348719,-0.561234,-0.627173,-0.851271,-0.883647,-1.0357,-0.965567,-1.11949,-1.19764,-1.25409,-1.37945,-1.48608,-1.4223,-1.5306,-1.35537,-1.42853,-1.47865,-1.31373,-1.2537,-1.21117,-0.972433,-1.05878,-1.26299,-0.889968,-0.83275,-0.695335,-0.547367,-0.300437,-0.204545,-0.0720438,0.0344133,0.132409,0.409651,0.458067,0.489179,0.681271,0.812422,0.87658,1.02773,1.21453,1.09543,-9420.09
1.07962,1.24094,1.36176,1.30131,1.45003,1.46361,1.39408,1.38598,1.47943,1.40054,1.25579,1.19493,1.19605,1.23008,1.05858,0.731591,0.858106,0.690936,0.526911,0.335024,0.238878,0.137092,-0.0304265,-0.148193,-0.311356,-0.451911,-0.619687,-0.602558,-0.808353,-0.830834,-1.02599,-1.00782,-1.08622,-1.28944,-1.21232,-1.23921,-1.40699,-1.28858,-1.36581,-1.40355,-1.41337,-1.47215,-1.35976,-1.11117,-1.04792,-0.935785,-0.655885,-0.87287,-0.842515,-0.708426,-0.460585,-0.357945,-0.164846,0.055473,0.129573,0.360551,0.299516,0.46629,0.618621,0.6794,0.796769,0.904752,0.949471,0.994264,1.27436,-9413.88
1.09149,1.22351,1.11806,1.23721,1.3736,1.54611,1.46419,1.42965,1.32486,1.38077,1.35158,1.21766,1.17205,0.955729,1.06521,0.968131,0.508866,0.702998,0.57825,0.388367,0.10765,0.0302207,-0.0709877,-0.339861,-0.461487,-0.469285,-0.575292,-0.79851,-0.764048,-0.870578,-1.0213,-1.18493,-1.19088,-1.26844,-1.21981,-1.28382,-1.20289,-1.3452,-1.30251,-1.4136,-1.43035,-1.23736,-1.29636,-1.33129,-0.964687,-0.949081,-1.05698,-0.840423,-0.739163,-0.600527,-0.589987,-0.220423,-0.145899,-0.0349468,0.206866,0.333625,0.378832,0.453091,0.560571,0.654185,0.873225,0.950603,1.00498,1.10517,1.12896,-9419.4
1.08174,1.2498,1.25676,1.32695,1.51224,1.463,1.4706,1.40668,1.46002,1.32594,1.33493,1.27109,1.24735,1.32345,1.03763,0.805776,1.003,0.708046,0.534141,0.362936,0.279008,0.0960089,-0.0870722,-0.193514,-0.356836,-0.46893,-0.550677,-0.59131,-0.85318,-0.929047,-0.915662,-1.00123,-1.25755,-1.3304,-1.32069,-1.39426,-1.60094,-1.43015,-1.36017,-1.36159,-1.35264,-1.4068,-1.27174,-1.08918,-1.24474,-1.21259,-0.913242,-0.832276,-0.75147,-0.619151,-0.379149,-0.40094,-0.172833,0.0393403,0.0456348,0.288366,0.370973,0.475975,0.617815,0.864429,0.890992,0.967642,1.06736,1.04561,1.30607,-9418.31
1.07128,1.19561,1.2253,1.35905,1.52539,1.5343,1.52983,1.38144,1.39851,1.36768,1.216,1.30631,1.27445,1.29634,1.01622,0.849436,0.878323,0.68613,0.508422,0.351704,0.207895,0.0824181,-0.101311,-0.297752,-0.460134,-0.449798,-0.675381,-0.615265,-0.886544,-0.922945,-0.998583,-1.15528,-1.19678,-1.43993,-1.36734,-1.31423,-1.45529,-1.52026,-1.27278,-1.44747,-1.51562,-1.3849,-1.21226,-1.1553,-1.14627,-1.13351,-1.09493,-0.803814,-0.725938,-0.472348,-0.407044,-0.320604,-0.251517,-0.128944,0.0441461,0.229192,0.339826,0.470704,0.641133,0.864643,0.86348,1.03718,0.9729,0.992239,1.18296,-9418.46
1.06763,1.2474,1.26374,1.3631,1.4988,1.44698,1.46766,1.44438,1.44032,1.42277,1.25763,1.31807,1.31506,1.28007,1.0263,0.916568,0.793478,0.663512,0.464104,0.346207,0.202954,0.0810199,-0.0290691,-0.338909,-0.360176,-0.477491,-0.641142,-0.604366,-0.824982,-0.975576,-1.04552,-1.19634,-1.15398,-1.36863,-1.28028,-1.43067,-1.43872,-1.48554,-1.50232,-1.39066,-1.49181,-1.39251,-1.22208,-1.18851,-1.1181,-1.18931,-1.11574,-0.984832,-0.782972,-0.400713,-0.483408,-0.292094,-0.253344,-0.0973928,-0.0324951,0.107821,0.35826,0.417227,0.570218,0.75504,0.835738,1.04262,0.950723,1.02562,1.33038,-9419.56
1.11134,1.27035,1.22227,1.25717,1.37991,1.53455,1.48137,1.42802,1.42743,1.41286,1.44521,1.15136,1.17144,1.06243,1.04778,0.855305,0.77302,0.70714,0.51745,0.343516,0.291378,0.259378,0.0800815,-0.00621475,-0.37999,-0.487513,-0.454708,-0.712406,-0.668992,-0.83072,-0.987409,-1.05415,-1.25537,-1.15902,-1.23392,-1.28287,-1.41563,-1.38617,-1.25136,-1.41201,-1.29515,-1.28536,-1.40467,-1.28573,-1.1465,-1.06425,-0.994251,-0.825711,-0.764961,-0.783396,-0.425824,-0.356497,-0.138108,-0.00612633,0.1077,0.364622,0.298642,0.458435,0.535587,0.606406,0.786941,0.787429,1.00681,1.02972,1.25869,-9413.69
1.08123,1.24617,1.19155,1.18461,1.22578,1.24411,1.42046,1.39759,1.42569,1.3511,1.27689,1.24168,1.23274,1.14416,1.00471,0.91745,0.745166,0.621588,0.570744,0.496612,0.275804,0.0965974,0.129334,-0.177221,-0.325253,-0.474621,-0.646486,-0.623706,-0.821596,-0.841738,-0.966802,-1.03208,-1.19567,-1.49485,-1.2108,-1.3618,-1.32775,-1.43382,-1.40584,-1.39627,-1.50436,-1.29439,-1.23916,-1.23144,-1.07755,-0.989755,-0.929434,-0.914613,-0.789673,-0.614131,-0.389965,-0.239022,-0.300119,-0.10097,0.0645633,0.219982,0.271504,0.415157,0.51931,0.746755,0.792781,0.932794,0.892694,1.04553,1.30551,-9412
1.08722,1.14233,1.18507,1.22947,1.39662,1.57985,1.42582,1.39642,1.34654,1.47012,1.47404,1.23586,1.18778,1.0659,1.0141,0.903833,0.891777,0.802386,0.534006,0.427893,0.297501,0.176947,-0.095585,-0.0828744,-0.421992,-0.59707,-0.627405,-0.687769,-0.8036,-0.875495,-0.907081,-1.00297,-1.06686,-1.01018,-1.13914,-1.3899,-1.43989,-1.36624,-1.3641,-1.41855,-1.27687,-1.2925,-1.31961,-1.23545,-1.00393,-1.00487,-0.998655,-0.788059,-0.849267,-0.696101,-0.470303,-0.398555,-0.190207,-0.069686,-0.0379942,0.200432,0.432798,0.373217,0.518287,0.521196,0.715316,0.790958,0.830528,1.03524,0.95635,-9415.45
1.07199,1.02381,1.15277,1.39031,1.4926,1.45134,1.51909,1.39264,1.37416,1.25331,1.31708,1.28397,1.23381,1.16953,1.18502,1.13397,0.827122,0.662824,0.586637,0.402053,0.365569,0.261429,0.114099,-0.223892,-0.41808,-0.570557,-0.655769,-0.691566,-0.640889,-0.825415,-0.916855,-0.986133,-1.10643,-1.338,-1.28112,-1.30302,-1.37601,-1.42581,-1.29737,-1.25599,-1.4644,-1.33534,-1.39663,-1.24982,-1.10705,-0.987013,-0.890976,-0.743527,-0.685783,-0.526709,-0.413347,-0.251676,-0.143967,-0.00290369,0.124582,0.125035,0.241746,0.407057,0.529014,0.774559,0.871716,0.964001,1.18621,1.07936,1.07941,-9415.5
1.07425,1.16673,1.31348,1.3336,1.47007,1.40829,1.3449,1.36574,1.42585,1.53628,1.48863,1.31084,1.22564,1.15869,0.970953,0.860228,0.779394,0.713864,0.528566,0.466431,0.299121,0.152243,-0.0832118,-0.138101,-0.357263,-0.475448,-0.617416,-0.556099,-0.729666,-0.727594,-0.887581,-0.99705,-1.17317,-1.25541,-1.28003,-1.42703,-1.41083,-1.3333,-1.45365,-1.47078,-1.45648,-1.4102,-1.26316,-1.22522,-1.10807,-1.00835,-1.04957,-0.899102,-0.726406,-0.607569,-0.402645,-0.330928,-0.214746,-0.148713,-0.0267955,0.237915,0.338307,0.426825,0.574771,0.765372,0.874391,0.981027,1.13322,1.26333,0.710856,-9412.31
1.09282,1.3831,1.1701,1.33143,1.2932,1.55902,1.49463,1.44157,1.42893,1.27385,1.17229,1.13461,1.18388,1.07212,1.05254,0.962722,0.72064,0.686606,0.540439,0.290892,0.275333,0.128204,0.108557,-0.15594,-0.39014,-0.489224,-0.538471,-0.798131,-0.768253,-1.00461,-1.00144,-1.13692,-1.0838,-1.19789,-1.31174,-1.18746,-1.26106,-1.35756,-1.2209,-1.25228,-1.3117,-1.29457,-1.23723,-1.13586,-1.1601,-1.00627,-0.825314,-0.794426,-0.823705,-0.754341,-0.581729,-0.462101,-0.20165,0.0493389,0.157128,0.270177,0.336416,0.457304,0.617305,0.592812,0.709096,0.918606,0.957777,0.9542,1.69121,-9415.87
1.07607,1.24799,1.33405,1.24909,1.5031,1.4101,1.411,1.43426,1.35558,1.35579,1.23572,1.08779,1.20116,1.15867,1.03848,0.829221,0.754816,0.709012,0.617348,0.451229,0.0980736,0.179073,-0.0481317,-0.201085,-0.352058,-0.38523,-0.523203,-0.61319,-0.78439,-0.957151,-1.05493,-1.20834,-1.38876,-1.3558,-1.18258,-1.33311,-1.39406,-1.31032,-1.26695,-1.38621,-1.40697,-1.25846,-1.26887,-1.24194,-1.08004,-1.06296,-1.02815,-0.847035,-0.759575,-0.748596,-0.513825,-0.366056,-0.272029,-0.0914428,0.160428,0.335065,0.33123,0.532396,0.412617,0.67327,0.73881,0.776931,0.983153,0.983086,1.27112,-9412.75
1.08513,1.22405,1.10204,1.20416,1.24977,1.41754,1.38684,1.34061,1.3887,1.25231,1.43131,1.29885,1.13798,1.07115,1.02022,0.846404,0.725492,0.608345,0.56945,0.442989,0.324514,0.0272351,0.126356,-0.131456,-0.47973,-0.518418,-0.538966,-0.570505,-0.78215,-0.919352,-0.982368,-1.04339,-1.12583,-1.18615,-1.29969,-1.31219,-1.36263,-1.38522,-1.3488,-1.33444,-1.36798,-1.33912,-1.26923,-1.01488,-1.03897,-1.12782,-1.10013,-0.813207,-0.723136,-0.447186,-0.452602,-0.397968,-0.150287,-0.0524364,-0.0157118,0.167682,0.465345,0.334716,0.568481,0.776228,1.00283,1.03167,0.996508,1.14368,1.15956,-9419.31
1.07977,1.13407,1.16892,1.32137,1.47344,1.367,1.37497,1.48733,1.37546,1.42987,1.28775,1.15149,1.26594,1.2266,1.03455,0.875899,0.8088,0.732283,0.39718,0.443252,0.258899,0.0971898,-0.102941,-0.253707,-0.416428,-0.552251,-0.572462,-0.708786,-0.656182,-0.920902,-1.06903,-1.11325,-1.12111,-1.29583,-1.29795,-1.41654,-1.35217,-1.26344,-1.19029,-1.36265,-1.24527,-1.27048,-1.35678,-1.35175,-0.994312,-1.09578,-1.00276,-0.863264,-0.806713,-0.675178,-0.392423,-0.101856,-0.185753,-0.0523861,0.149511,0.378329,0.214988,0.359132,0.426393,0.544677,0.659457,0.95182,1.08037,1.1265,1.26139,-9417.44
1.09354,1.25044,1.26726,1.336,1.4279,1.46273,1.46309,1.36479,1.5169,1.38524,1.4464,1.23092,1.20026,1.0738,0.937055,0.969202,0.862533,0.735717,0.660343,0.405573,0.242421,0.0458713,0.0559368,-0.162139,-0.565154,-0.794444,-0.766102,-0.579812,-0.705679,-0.856902,-0.866405,-1.06366,-1.15888,-1.13096,-1.20934,-1.24268,-1.47033,-1.32783,-1.20969,-1.25319,-1.4586,-1.31325,-1.29622,-1.15866,-1.15704,-1.06595,-0.990761,-1.00706,-0.849154,-0.676524,-0.422127,-0.162225,-0.0550785,0.0678926,-0.0334618,0.0900941,0.377574,0.554403,0.585073,0.622242,0.832714,0.803715,0.910702,0.998832,1.00232,-9422.53
1.07471,1.13265,1.28422,1.33019,1.4569,1.43044,1.27678,1.37583,1.31924,1.57099,1.24593,1.00269,1.01576,0.930448,0.916929,0.813251,0.874173,0.787189,0.48562,0.40798,0.223349,0.127573,0.00939111,-0.178211,-0.415512,-0.491987,-0.576985,-0.814603,-0.72389,-0.865773,-0.971692,-0.952934,-1.00655,-1.20773,-1.18566,-1.37058,-1.30576,-1.32437,-1.25901,-1.30284,-1.24247,-1.33739,-1.3022,-1.24115,-1.04667,-1.15334,-1.04688,-0.847473,-0.762027,-0.605787,-0.314658,-0.379801,-0.1777,-0.0126278,0.0790816,0.260486,0.325151,0.388717,0.539261,0.688464,0.725247,0.856492,0.962946,1.00168,1.14304,-9416.4
1.07597,1.11865,1.25046,1.33161,1.45301,1.48958,1.30737,1.38319,1.38398,1.53268,1.28087,0.976396,0.973949,0.955239,0.893911,0.826431,0.823105,0.764055,0.571673,0.387655,0.211906,0.0960627,-0.0209677,-0.0851973,-0.400022,-0.414549,-0.585214,-0.802491,-0.73136,-0.825571,-0.988701,-0.930478,-0.930367,-1.234,-1.23894,-1.37716,-1.29719,-1.30097,-1.21984,-1.28579,-1.25449,-1.31048,-1.28286,-1.28594,-1.13801,-1.11999,-1.0512,-0.856073,-0.766722,-0.522579,-0.303011,-0.403173,-0.154019,-0.00985738,0.0913637,0.25543,0.364356,0.364332,0.623066,0.607223,0.765555,0.850962,0.991895,0.970131,0.94719,-9419.81
1.10526,1.0802,1.1107,1.2559,1.38901,1.41078,1.46114,1.33746,1.40774,1.22763,1.29884,1.27712,1.23822,1.19523,1.1553,0.895202,0.607704,0.580971,0.505485,0.363397,0.183932,0.0283526,-0.0139068,-0.245342,-0.306881,-0.546597,-0.597507,-0.563285,-0.806765,-0.939493,-0.849992,-1.06352,-1.35637,-1.32827,-1.29562,-1.24693,-1.37901,-1.27806,-1.288,-1.44673,-1.51181,-1.31634,-1.32061,-1.24116,-1.18233,-1.09251,-0.928145,-0.830323,-0.683353,-0.557427,-0.487836,-0.233001,-0.316026,-0.0370003,0.10874,0.210191,0.247837,0.49017,0.451594,0.68604,0.786599,0.962781,1.0349,1.18759,1.04779,-9415.71
1.06823,1.12648,1.2144,1.34887,1.49049,1.48264,1.34544,1.40389,1.36588,1.45309,1.28023,1.10047,1.15206,1.12873,0.993779,0.933932,0.915018,0.748678,0.482012,0.342845,0.332634,0.255493,0.021638,-0.134536,-0.536291,-0.572225,-0.641796,-0.848775,-0.820889,-0.925423,-1.16485,-1.18076,-1.08292,-1.29333,-1.32471,-1.36706,-1.25678,-1.4471,-1.44259,-1.46097,-1.3986,-1.39934,-1.27056,-1.26352,-1.16127,-1.14461,-1.05007,-0.822883,-0.790163,-0.697267,-0.498013,-0.467622,-0.132287,-0.0076139,0.0731315,0.267375,0.375131,0.40376,0.624877,0.60322,0.828598,0.954252,1.10987,1.10485,0.964583,-9413.91
1.07252,1.20121,1.2481,1.36892,1.48491,1.48362,1.30811,1.38453,1.35292,1.44264,1.28388,1.0908,1.11957,1.14309,0.994867,0.952608,0.91133,0.777688,0.50058,0.3594,0.308341,0.259537,0.0222316,-0.19786,-0.46547,-0.627652,-0.61823,-0.797129,-0.83322,-0.915027,-1.13566,-1.20859,-1.09849,-1.27547,-1.30289,-1.31367,-1.23021,-1.3851,-1.41823,-1.36763,-1.35786,-1.41642,-1.32055,-1.28996,-1.18627,-1.17109,-1.05736,-0.805223,-0.744309,-0.712656,-0.517546,-0.420825,-0.139983,-0.0214811,0.0387296,0.276849,0.35793,0.376211,0.571722,0.636712,0.865409,0.966028,1.10933,1.09255,0.859573,-9411.66
1.07522,1.19123,1.2466,1.41929,1.45058,1.45115,1.31076,1.37826,1.37313,1.42654,1.30629,1.12499,1.12245,1.10621,0.947301,0.963014,0.888198,0.743699,0.511135,0.348859,0.301226,0.319128,0.0392281,-0.163604,-0.516278,-0.60462,-0.574655,-0.813334,-0.85561,-0.896067,-1.14467,-1.15821,-1.1633,-1.3022,-1.23952,-1.34238,-1.21727,-1.33952,-1.39313,-1.36207,-1.31378,-1.37927,-1.28705,-1.30501,-1.22396,-1.13357,-1.12139,-0.826898,-0.716344,-0.663268,-0.504753,-0.443593,-0.18388,-0.0514177,0.0158146,0.2837,0.371198,0.403021,0.595496,0.629374,0.871162,0.979561,1.07811,1.06159,0.918181,-9412.77
1.09176,1.19748,1.20664,1.17634,1.43262,1.60282,1.62501,1.35692,1.31384,1.22444,1.23733,1.202,1.22045,1.11557,1.06418,0.793379,0.644959,0.66684,0.582694,0.441947,0.218034,-0.0954976,-0.102395,-0.303491,-0.318295,-0.437602,-0.641223,-0.5309,-0.698698,-0.912575,-0.842161,-1.03396,-1.22778,-1.22082,-1.29062,-1.34699,-1.51088,-1.3636,-1.21895,-1.31909,-1.38324,-1.2521,-1.35094,-1.19442,-1.03666,-1.08208,-0.889814,-0.862773,-0.761098,-0.611384,-0.512614,-0.269044,-0.260832,-0.048361,0.0834343,0.244838,0.397832,0.541302,0.544764,0.764669,0.837131,0.96159,0.996088,1.10448,1.39552,-9416.22
1.09021,1.27697,1.13087,1.23167,1.29694,1.69754,1.54127,1.4014,1.36197,1.32292,1.38335,1.05678,1.26974,1.17949,0.929273,0.841188,0.6699,0.763662,0.331488,0.390911,0.149955,-0.0368221,-0.0222075,-0.340089,-0.398936,-0.497794,-0.605817,-0.709471,-0.73299,-0.847641,-0.893201,-1.11934,-1.17775,-1.26882,-1.24136,-1.37964,-1.41504,-1.38152,-1.20906,-1.34172,-1.41595,-1.34624,-1.32203,-1.31978,-1.1418,-0.933479,-0.977663,-0.97829,-0.840047,-0.616066,-0.463886,-0.371358,-0.187318,-0.19395,-0.0403726,0.305349,0.334755,0.451146,0.464338,0.707624,0.818733,0.913119,0.97487,1.0526,1.21713,-9422.08
1.07884,1.21379,1.34381,1.30373,1.48455,1.23759,1.30464,1.35827,1.44602,1.45296,1.18523,1.23681,1.03137,1.01631,1.11456,0.997966,0.930325,0.617926,0.667799,0.278823,0.24275,0.144686,-0.129182,-0.157462,-0.490154,-0.576737,-0.567289,-0.611328,-0.779093,-0.924024,-1.01576,-1.02849,-1.14987,-1.29401,-1.37849,-1.29706,-1.28732,-1.29447,-1.3971,-1.4073,-1.34452,-1.2904,-1.25238,-1.12945,-1.06831,-1.16845,-0.981864,-0.745083,-0.694048,-0.661262,-0.532108,-0.282724,-0.214315,0.0943442,0.184075,0.241167,0.431006,0.556164,0.718089,0.694959,0.820605,0.931038,1.10198,1.21223,1.28574,-9420.16
1.0657,1.38903,1.39549,1.30284,1.38532,1.26405,1.24382,1.38418,1.48066,1.38984,1.34114,1.28058,1.16676,0.991247,1.16701,0.916932,0.655355,0.789675,0.556215,0.340853,0.33052,0.0930776,-0.0981427,-0.24911,-0.392987,-0.645641,-0.548297,-0.6106,-0.853313,-0.959183,-0.95549,-1.08007,-1.10061,-1.3248,-1.3475,-1.24191,-1.41832,-1.35112,-1.37924,-1.46694,-1.4699,-1.30156,-1.18862,-1.28207,-1.15783,-1.13722,-0.971798,-0.667871,-0.596851,-0.677862,-0.446476,-0.251532,-0.237324,0.0973223,0.0296341,0.291644,0.555808,0.558678,0.627326,0.516519,0.767367,0.976571,1.12285,1.2595,1.44213,-9428.73
1.0604,1.32574,1.27222,1.39919,1.47295,1.36045,1.26909,1.33736,1.45968,1.43559,1.45131,1.29226,1.17171,1.0479,0.960492,0.840184,0.856969,0.79406,0.549948,0.373667,0.2436,0.0716085,-0.14216,-0.276291,-0.438693,-0.578673,-0.62424,-0.555862,-0.886373,-0.943606,-1.03711,-1.13812,-1.20856,-1.37352,-1.31733,-1.38182,-1.28544,-1.3187,-1.38887,-1.40539,-1.4203,-1.34478,-1.14446,-1.218,-1.22134,-1.10433,-0.986289,-0.73984,-0.613941,-0.665666,-0.491659,-0.312128,-0.140877,-0.0900604,0.076126,0.294783,0.622196,0.505339,0.534116,0.610801,0.858067,0.957812,0.922603,1.21751,1.17585,-9421.29
1.09824,1.23792,1.35769,1.3662,1.46422,1.63149,1.48525,1.29037,1.28924,1.31092,1.32113,1.22864,1.24695,1.15921,1.02785,0.850437,0.618679,0.6815,0.534625,0.427852,0.181899,0.0291062,0.0460314,-0.170155,-0.339503,-0.513298,-0.621394,-0.777959,-0.672245,-0.899163,-0.957669,-1.01801,-1.22702,-1.24987,-1.28495,-1.38019,-1.26997,-1.43954,-1.39965,-1.35689,-1.41636,-1.43085,-1.36943,-1.19187,-1.07458,-1.17885,-0.96102,-0.827444,-0.92996,-0.574056,-0.538444,-0.271735,-0.215042,0.0775176,0.0597176,0.254277,0.147398,0.473896,0.707924,0.706993,0.803682,0.942954,1.15122,1.11517,1.34301,-9415.48
1.08898,1.31653,1.33702,1.52423,1.52197,1.54323,1.47729,1.28581,1.38531,1.26349,1.28636,1.18511,1.32902,1.25411,1.08729,0.848068,0.605847,0.71728,0.461321,0.373816,0.315581,0.119799,-0.0635367,-0.0776522,-0.322265,-0.577994,-0.523561,-0.719865,-0.779588,-0.962653,-1.00533,-0.907968,-1.2195,-1.34056,-1.29019,-1.40277,-1.26693,-1.32702,-1.46596,-1.4549,-1.42424,-1.32937,-1.38534,-1.24231,-1.11067,-1.17094,-0.892007,-0.8993,-0.989532,-0.65611,-0.385258,-0.305516,-0.13321,0.0224866,-0.102379,0.165948,0.202663,0.4652,0.540331,0.717588,0.821523,0.974204,1.00624,0.995788,1.19515,-9421.89
1.08444,1.21681,1.19451,1.13042,1.46481,1.40725,1.48887,1.43595,1.49109,1.43424,1.37081,1.16948,1.12412,0.948697,0.93561,0.954215,0.859788,0.612784,0.656371,0.364476,0.240577,0.212154,0.0404957,-0.248872,-0.45629,-0.500178,-0.734423,-0.650522,-0.834198,-0.83313,-0.91761,-1.12457,-1.12006,-1.14458,-1.20704,-1.18667,-1.40615,-1.31106,-1.08433,-1.255,-1.35996,-1.32768,-1.20342,-1.07422,-1.10893,-0.976367,-0.960659,-0.799887,-0.636306,-0.649698,-0.569479,-0.421576,-0.271559,0.041568,0.189068,0.372449,0.425388,0.456922,0.517687,0.622281,0.786303,0.806289,1.14352,1.18576,1.33792,-9419.52
1.0943,1.29724,1.21546,1.31721,1.48702,1.57255,1.40569,1.45411,1.3901,1.49588,1.21694,1.192,1.17593,1.15642,1.1235,0.896947,0.824867,0.607881,0.509532,0.403671,0.181066,0.129379,-0.0634981,-0.237528,-0.474099,-0.550788,-0.728847,-0.567618,-0.759593,-0.808262,-1.02463,-1.17376,-1.10413,-1.23528,-1.25206,-1.19006,-1.31783,-1.30182,-1.11848,-1.26552,-1.34079,-1.38523,-1.26456,-1.17031,-1.14348,-0.977346,-0.88356,-0.791949,-0.603216,-0.596065,-0.497785,-0.280022,-0.274953,0.106229,0.280491,0.315283,0.459564,0.454974,0.529754,0.641746,0.841179,0.798895,1.09721,1.27139,1.15182,-9418.08
